"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"1","e05623_A",2390,2169,2148,2143,13,13,13,0,0
"2","e05623_B",192,173,168,164,47,47,47,0,0
"3","e05623_C",2380,2157,2136,2137,0,0,0,0,0
"4","e05624_A",28,26,22,18,7,7,7,7,0
"5","e05624_B",648,569,561,557,7,7,7,7,0
"6","e05624_C",18637,16759,16752,16725,16713,16713,16713,16713,16713
"7","e05625_A",699,626,623,623,613,613,613,0,0
"8","e05625_B",10,8,5,5,5,5,5,0,0
"9","e05625_C",15,15,12,12,12,12,12,3,0
"10","e05626_A",33,29,22,22,15,15,15,0,0
"11","e05626_B",30531,27505,27481,27466,27412,27412,27404,27404,27404
"12","e05626_C",18,16,8,8,8,8,8,2,0
"13","e05627_A",1,1,1,1,1,1,1,1,0
"14","e05627_B",98,89,88,88,0,0,0,0,0
"15","e05627_C",13,13,11,11,11,11,11,0,0
"16","e05628_A",62,59,55,57,48,48,48,0,0
"17","e05628_B",17,16,5,10,0,0,0,0,0
"18","e05628_C",1404,1267,1254,1259,0,0,0,0,0
"19","e05629_A",15386,13979,13969,13964,13948,13948,13755,13390,13390
"20","e05629_B",20134,18255,18250,18225,18216,18216,17930,17930,17930
"21","e05629_C",49,45,38,38,38,38,38,0,0
"22","e05630_A",3,2,1,1,0,0,0,0,0
"23","e05630_B",194,177,175,174,174,0,0,0,0
"24","e05630_C",3,3,2,2,2,2,2,2,0
"25","e05631_A",1229,1123,1112,1120,1068,1068,1068,0,0
"26","e05631_B",89,80,69,66,0,0,0,0,0
"27","e05631_C",91,79,21,48,3,0,0,0,0
"28","e05632_A",509,460,441,444,408,408,408,0,0
"29","e05632_B",4387,3974,3954,3918,3309,3309,3309,3152,3152
"30","e05632_C",8457,7571,7560,7555,7524,7420,7420,7183,7183
"31","e05633_A",8259,7488,7428,7365,5256,5207,5207,5207,5207
"32","e05633_B",355,318,303,277,11,11,11,0,0
"33","e05633_C",11853,10682,10669,10661,10519,10519,10519,10519,10519
"34","e05634_A",38,35,20,18,0,0,0,0,0
"35","e05634_B",10639,9587,9564,9527,8817,8817,8813,8813,8813
"36","e05634_C",52,48,42,44,7,7,7,7,0
"37","e05635_A",14001,12602,12586,12576,12413,12413,12413,12152,12152
"38","e05635_B",18421,16589,16560,16490,16376,15905,15905,15905,15905
"39","e05635_C",61,57,52,48,0,0,0,0,0
"40","e05636_A",28006,25167,25158,25138,25091,25091,25091,25091,25091
"41","e05636_B",21198,19105,18911,18946,18373,18373,18174,18174,18174
"42","e05636_C",123,108,102,97,6,6,6,6,0
"43","e05637_A",49118,44496,44300,44463,44242,44242,44092,44079,44079
"44","e05637_B",39917,36135,36099,35994,35731,35731,35113,35113,35113
"45","e05637_C",37200,33620,33579,33591,33520,33520,33520,33520,33520
"46","e05638_A",761,684,668,677,7,7,7,7,0
"47","e05638_B",12745,11707,11697,11684,11508,11508,11505,11505,11505
"48","e05638_C",6724,6215,6206,6207,6193,6170,6170,6129,6129
"49","e05639_A",25080,22705,22695,22679,22652,22652,22652,22628,22628
"50","e05639_B",258,228,217,221,8,8,8,8,0
"51","e05639_C",32986,29761,29751,29744,29715,29715,29709,29483,29483
"52","e05640_A",11527,10400,10390,10390,10354,10354,10354,10354,10354
"53","e05640_B",6901,6203,6163,6139,4827,4827,4827,4823,4823
"54","e05640_C",136,121,112,110,63,63,63,0,0
"55","e05641_A",10761,9669,9544,9506,6513,6513,6513,6108,6108
"56","e05641_B",18302,16488,16470,16455,16273,16273,16267,16204,16204
"57","e05641_C",28952,26038,26006,26011,25911,25911,25911,25670,25670
"58","e05642_A",37340,33531,33515,33290,33207,33203,32941,32935,32935
"59","e05642_B",29417,26371,26347,26286,26186,26186,26060,25918,25918
"60","e05642_C",15653,13964,13929,13942,13866,13866,13803,12412,12412
"61","e05643_A",170,156,147,81,69,69,69,0,0
"62","e05643_B",395,354,342,346,93,93,93,23,0
"63","e05643_C",26,23,18,16,5,5,5,0,0
"64","e05644_A",63,54,40,32,6,6,6,0,0
"65","e05644_B",15399,13764,13755,13643,13280,13280,13275,13151,13151
"66","e05644_C",17279,15534,15526,15520,15506,15479,15479,15473,15473
"67","e05645_A",939,825,817,768,28,28,28,9,0
"68","e05645_B",34591,31307,31279,31242,31144,30581,30282,30282,30282
"69","e05645_C",35,29,24,18,18,18,18,0,0
"70","e05646_A",7271,6551,6510,6538,6500,6462,6425,6345,6345
"71","e05646_B",20699,18731,18719,18703,18684,18684,18684,18684,18684
"72","e05646_C",36,33,23,25,9,9,9,0,0
"73","e05647_A",61,53,48,48,47,47,47,47,0
"74","e05647_B",8173,7442,7310,7394,7223,7223,7220,7220,7220
"75","e05647_C",133,120,108,111,55,55,55,55,0
"76","e05648_A",6201,5637,5626,5623,5596,5596,5595,0,0
"77","e05648_B",9326,8367,8324,8279,7029,7029,7029,7029,7029
"78","e05648_C",506,455,448,441,427,260,260,0,0
"79","e05649_A",245,221,205,219,9,9,9,3,0
"80","e05649_B",87,71,47,62,0,0,0,0,0
"81","e05649_C",51,45,39,40,2,2,2,2,0
"82","e05650_A",24,19,13,13,0,0,0,0,0
