"","total","spread","parent_id","curated","rank"
"ASV19",19956,102,"ASV19","parent",19
"ASV1",981485,79,"ASV1","parent",1
"ASV2",186827,22,"ASV2","parent",2
"ASV3",176218,15,"ASV3","parent",3
"ASV4",111445,13,"ASV4","parent",4
"ASV5",110716,10,"ASV5","parent",5
"ASV6",94873,10,"ASV6","parent",6
"ASV7",63713,7,"ASV7","parent",7
"ASV8",61539,7,"ASV8","parent",8
"ASV10",44837,5,"ASV10","parent",10
"ASV16",24153,5,"ASV16","parent",16
"ASV22",14340,5,"ASV22","parent",22
"ASV42",2660,5,"ASV1","merged",42
"ASV9",55361,4,"ASV9","parent",9
"ASV11",42316,4,"ASV11","parent",11
"ASV12",35698,4,"ASV12","parent",12
"ASV41",2784,4,"ASV41","parent",41
"ASV76",563,4,"ASV16","merged",76
"ASV109",355,4,"ASV6","merged",109
"ASV13",33005,3,"ASV13","parent",13
"ASV14",27269,3,"ASV14","parent",14
"ASV15",26104,3,"ASV15","parent",15
"ASV18",21485,3,"ASV18","parent",18
"ASV43",2582,3,"ASV1","merged",43
"ASV46",1989,3,"ASV5","merged",46
"ASV47",1865,3,"ASV47","parent",47
"ASV58",978,3,"ASV58","parent",58
"ASV95",435,3,"ASV7","merged",95
"ASV98",400,3,"ASV98","parent",98
"ASV100",384,3,"ASV100","parent",99
"ASV102",381,3,"ASV102","parent",101
"ASV103",377,3,"ASV1","merged",103
"ASV108",356,3,"ASV108","parent",108
"ASV117",326,3,"ASV117","parent",117
"ASV120",316,3,"ASV120","parent",120
"ASV125",283,3,"ASV125","parent",125
"ASV144",227,3,"ASV108","merged",144
"ASV297",21,3,"ASV297","parent",297
"ASV17",22293,2,"ASV17","parent",17
"ASV23",13494,2,"ASV23","parent",23
"ASV28",7027,2,"ASV28","parent",28
"ASV30",5706,2,"ASV30","parent",30
"ASV32",5232,2,"ASV1","merged",32
"ASV38",3493,2,"ASV1","merged",38
"ASV56",1030,2,"ASV1","merged",56
"ASV57",1022,2,"ASV11","merged",57
"ASV64",795,2,"ASV64","parent",64
"ASV69",654,2,"ASV1","merged",69
"ASV84",484,2,"ASV84","parent",84
"ASV127",276,2,"ASV127","parent",127
"ASV164",183,2,"ASV5","merged",163
"ASV168",177,2,"ASV168","parent",167
"ASV221",118,2,"ASV102","merged",221
"ASV248",77,2,"ASV108","merged",248
"ASV301",16,2,"ASV12","merged",301
"ASV20",19401,1,"ASV20","parent",20
"ASV21",18463,1,"ASV21","parent",21
"ASV24",12519,1,"ASV6","merged",24
"ASV25",10009,1,"ASV25","parent",25
"ASV26",8591,1,"ASV26","parent",26
"ASV27",7807,1,"ASV17","merged",27
"ASV29",6711,1,"ASV29","parent",29
"ASV31",5392,1,"ASV31","parent",31
"ASV33",5132,1,"ASV33","parent",33
"ASV34",5108,1,"ASV1","merged",34
"ASV35",4472,1,"ASV35","parent",35
"ASV36",4167,1,"ASV36","parent",36
"ASV37",3688,1,"ASV1","merged",37
"ASV39",3243,1,"ASV39","parent",39
"ASV40",3192,1,"ASV35","merged",40
"ASV44",2210,1,"ASV4","merged",44
"ASV45",2072,1,"ASV3","merged",45
