"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e05623-A",2390,2169,2148,2143,13,13,13
"e05623-B",192,173,168,164,47,47,47
"e05623-C",2380,2157,2136,2137,0,0,0
"e05624-A",28,26,22,18,7,7,7
"e05624-B",648,569,561,557,7,7,7
"e05624-C",18637,16759,16752,16725,16713,16713,16713
"e05625-A",699,626,623,623,613,613,613
"e05625-B",10,8,5,5,5,5,5
"e05625-C",15,15,12,12,12,12,12
"e05626-A",33,29,22,22,15,15,15
"e05626-B",30531,27505,27481,27466,27412,27412,27404
"e05626-C",18,16,8,8,8,8,8
"e05627-A",1,1,1,1,1,1,1
"e05627-B",98,89,88,88,0,0,0
"e05627-C",13,13,11,11,11,11,11
"e05628-A",62,59,55,57,48,48,48
"e05628-B",17,16,5,10,0,0,0
"e05628-C",1404,1267,1254,1259,0,0,0
"e05629-A",15386,13979,13969,13964,13948,13948,13755
"e05629-B",20134,18255,18250,18225,18216,18216,17930
"e05629-C",49,45,38,38,38,38,38
"e05630-A",3,2,1,1,0,0,0
"e05630-B",194,177,175,174,174,0,0
"e05630-C",3,3,2,2,2,2,2
"e05631-A",1229,1123,1112,1120,1068,1068,1068
"e05631-B",89,80,69,66,0,0,0
"e05631-C",91,79,21,48,3,0,0
"e05632-A",509,460,441,444,408,408,408
"e05632-B",4387,3974,3954,3918,3309,3309,3309
"e05632-C",8457,7571,7560,7555,7524,7420,7420
"e05633-A",8259,7488,7428,7365,5256,5207,5207
"e05633-B",355,318,303,277,11,11,11
"e05633-C",11853,10682,10669,10661,10519,10519,10519
"e05634-A",38,35,20,18,0,0,0
"e05634-B",10639,9587,9564,9527,8817,8817,8813
"e05634-C",52,48,42,44,7,7,7
"e05635-A",14001,12602,12586,12576,12413,12413,12413
"e05635-B",18421,16589,16560,16490,16376,15905,15905
"e05635-C",61,57,52,48,0,0,0
"e05636-A",28006,25167,25158,25138,25091,25091,25091
"e05636-B",21198,19105,18911,18946,18373,18373,18174
"e05636-C",123,108,102,97,6,6,6
"e05637-A",49118,44496,44300,44463,44242,44242,44092
"e05637-B",39917,36135,36099,35994,35731,35731,35113
"e05637-C",37200,33620,33579,33591,33520,33520,33520
"e05638-A",761,684,668,677,7,7,7
"e05638-B",12745,11707,11697,11684,11508,11508,11505
"e05638-C",6724,6215,6206,6207,6193,6170,6170
"e05639-A",25080,22705,22695,22679,22652,22652,22652
"e05639-B",258,228,217,221,8,8,8
"e05639-C",32986,29761,29751,29744,29715,29715,29709
"e05640-A",11527,10400,10390,10390,10354,10354,10354
"e05640-B",6901,6203,6163,6139,4827,4827,4827
