"","ASV","species","genus","family","order","class","phylum","kingdom","seq_percID","diff","taxonomic_level","taxon"
"1","ASV1","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"2","ASV1","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"3","ASV1","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"4","ASV1","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"5","ASV1","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"6","ASV1","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"7","ASV1","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"8","ASV1","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"9","ASV1","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"10","ASV1","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"11","ASV1","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"12","ASV1","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"13","ASV1","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"14","ASV1","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"15","ASV1","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"16","ASV1","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"17","ASV1","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"18","ASV10","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Ammodytes personatus"
"19","ASV101","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"20","ASV101","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"21","ASV101","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"22","ASV101","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"23","ASV101","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"24","ASV101","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"25","ASV101","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
