"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"1","e05623_D",4072,3592,3557,387,0,0,0,0
"2","e05623_E",5586,4920,4910,4803,0,0,0,0
"3","e05623_F",4852,4307,4244,4086,0,0,0,0
"4","e05624_D",4748,4163,9,10,9,9,9,0
"5","e05624_E",6284,5536,5491,3360,0,0,0,0
"6","e05624_F",5144,4489,2592,4328,0,0,0,0
"7","e05625_D",16886,14904,14728,11967,11862,11839,11839,11839
"8","e05625_E",5195,4434,4370,4149,0,0,0,0
"9","e05625_F",3701,3183,3141,4,0,0,0,0
"10","e05626_D",5920,5164,5138,5096,0,0,0,0
"11","e05626_E",7735,6846,12,11,11,11,0,0
"12","e05626_F",4679,4120,4116,4106,0,0,0,0
"13","e05627_D",3630,3157,9,2974,0,0,0,0
"14","e05627_E",5160,4468,4409,373,0,0,0,0
"15","e05627_F",4019,3504,449,3328,0,0,0,0
"16","e05628_D",5401,4752,4705,4698,0,0,0,0
"17","e05628_E",7121,6235,6079,6120,0,0,0,0
"18","e05628_F",4653,4096,4000,3827,0,0,0,0
"19","e05629_D",5450,4781,4693,48,47,47,47,0
"20","e05629_E",6572,5839,5806,5789,0,0,0,0
"21","e05629_F",4329,3803,3757,3710,0,0,0,0
"22","e05630_D",5006,4428,9,11,8,8,8,0
"23","e05630_E",6203,5457,5314,10,10,10,10,0
"24","e05630_F",4829,4259,9,9,8,8,8,0
"25","e05631_D",5274,4633,6,4577,0,0,0,0
"26","e05631_E",6369,5590,5541,15,0,0,0,0
"27","e05631_F",4863,4250,22,4150,0,0,0,0
"28","e05632_D",5268,4613,1,4470,0,0,0,0
"29","e05632_E",6796,5967,10,7,0,0,0,0
"30","e05632_F",4520,3917,51,33,23,23,0,0
"31","e05633_D",6881,5975,12,23,9,9,9,0
"32","e05633_E",7825,6800,6644,41,30,30,4,0
"33","e05633_F",37371,33233,32803,32958,32501,32364,32364,32364
"34","e05634_D",5284,4626,8,10,7,7,7,0
"35","e05634_E",6988,6094,31,28,27,27,27,0
"36","e05634_F",4559,3987,14,16,14,14,14,0
"37","e05635_D",4719,4068,9,4,4,4,0,0
"38","e05635_E",5560,4796,4731,4474,0,0,0,0
"39","e05635_F",4192,3565,49,11,11,11,6,0
"40","e05636_D",6118,5289,21,4926,0,0,0,0
"41","e05636_E",7722,6653,15,23,8,8,8,0
"42","e05636_F",23258,20602,17784,17651,17593,17564,17564,17564
"43","e05637_D",46992,41904,41554,41716,41302,41064,41064,41064
"44","e05637_E",39949,35646,33811,33937,33624,33476,33476,33476
"45","e05637_F",36875,32975,32742,32781,32521,32339,32339,32339
"46","e05638_D",3104,2769,18,22,0,0,0,0
"47","e05638_E",21264,19286,19228,19194,19136,19018,19018,19018
"48","e05638_F",22122,20074,19994,19979,19900,19900,19900,19900
"49","e05639_D",46695,41795,40817,40904,40334,39293,39293,39293
"50","e05639_E",45421,40617,40042,40081,39401,35791,35791,35791
"51","e05639_F",49065,43792,43485,43447,43111,42476,42476,42476
"52","e05640_D",37208,33119,32847,32762,32518,32362,32362,32362
"53","e05640_E",42578,37788,37381,37482,37022,36873,36873,36873
"54","e05640_F",39777,35326,35192,34974,34810,34433,34433,34433
"55","e05641_D",7790,6822,16,56,13,13,13,0
"56","e05641_E",7715,6730,17,18,10,10,10,0
"57","e05641_F",43608,38980,38642,38803,38456,38317,38317,38317
"58","e05642_D",4280,3741,24,22,20,20,13,0
"59","e05642_E",33294,29657,29444,29154,28970,28889,28889,28889
"60","e05642_F",3981,3442,9,2,0,0,0,0
"61","e05643_D",5885,5104,9,4970,0,0,0,0
"62","e05643_E",6846,5973,5953,5481,0,0,0,0
"63","e05643_F",4806,4201,10,3858,0,0,0,0
"64","e05644_D",32321,28856,28690,28594,28442,28364,28364,28364
"65","e05644_E",34995,31256,30969,31117,30831,30722,30722,30722
"66","e05644_F",3948,3386,87,88,78,78,78,0
"67","e05645_D",8351,7250,18,19,12,12,12,0
"68","e05645_E",8878,7717,7569,32,15,15,15,0
"69","e05645_F",46132,41045,40752,40658,40362,40204,40204,40204
"70","e05646_D",6486,5693,15,14,14,14,14,0
"71","e05646_E",7651,6722,22,21,21,21,0,0
"72","e05646_F",5412,4721,4669,2124,0,0,0,0
"73","e05647_D",7997,6898,6638,5,4,4,0,0
"74","e05647_E",8558,7406,131,147,121,121,121,0
"75","e05647_F",6320,5451,132,148,122,122,122,0
"76","e05648_D",7874,6901,6875,4217,0,0,0,0
"77","e05648_E",9789,8531,12,21,5,5,5,0
"78","e05648_F",6303,5470,5455,12,0,0,0,0
"79","e05649_D",10734,9440,9393,9381,0,0,0,0
"80","e05649_E",9806,8680,21,19,9,9,9,0
"81","e05649_F",7465,6501,30,6272,0,0,0,0
"82","e05650_D",7219,6394,6366,6313,0,0,0,0
"83","e05650_E",7608,6735,6711,6645,0,0,0,0
"84","e05650_F",5515,4837,4795,4781,0,0,0,0
"85","e05651_D",9406,8207,8,7889,0,0,0,0
"86","e05651_E",9242,8049,14,13,13,13,0,0
"87","e05651_F",7288,6303,34,5851,0,0,0,0
"88","e05652_D",10354,9022,41,52,33,33,33,0
"89","e05652_E",59801,53442,53130,53259,52882,52213,52213,52213
"90","e05652_F",51240,45989,45750,45774,45498,44924,44924,44924
"91","e05653_D",10982,9665,17,19,12,12,12,0
"92","e05653_E",59621,53265,52890,52745,51939,48515,48515,48515
"93","e05653_F",7188,6341,54,44,36,36,36,0
"94","e05654_D",35403,31416,31166,31111,30843,30313,30313,30313
"95","e05654_E",41259,36681,36108,36180,35646,35270,35270,35270
"96","e05654_F",34589,30748,30387,30310,29975,29703,29703,29703
"97","e05655_D",7430,6419,13,13,10,10,0,0
"98","e05655_E",7673,6678,7,1001,0,0,0,0
"99","e05655_F",6749,5822,9,5686,0,0,0,0
"100","e05656_D",8521,7539,16,32,11,11,0,0
"101","e05656_E",9229,8177,9,11,9,9,0,0
"102","e05656_F",7176,6281,33,28,27,27,0,0
"103","e05657_D",9839,8555,25,29,23,23,0,0
"104","e05657_E",9516,8338,8295,8073,0,0,0,0
"105","e05657_F",7074,6168,6130,6026,0,0,0,0
"106","e05658_D",7911,6971,6906,6876,0,0,0,0
"107","e05658_E",7697,6741,6594,6608,0,0,0,0
"108","e05658_F",6179,5391,11,12,10,10,0,0
"109","e05659_D",10373,9078,10,33,8,8,8,0
"110","e05659_E",10040,8726,8675,8554,0,0,0,0
"111","e05659_F",7875,6818,33,31,27,27,0,0
"112","e05660_D",12467,10874,16,11,10,10,0,0
"113","e05660_E",12198,10659,10609,92,0,0,0,0
"114","e05660_F",8917,7789,7583,39,35,35,0,0
"115","e05661_D",10787,9445,9391,9379,0,0,0,0
"116","e05661_E",10472,9248,9044,54,52,52,52,0
"117","e05661_F",7373,6438,8,8,8,8,0,0
"118","e05662_D",6394,5619,13,5555,9,9,9,0
"119","e05662_E",8191,7193,7112,6555,0,0,0,0
"120","e05662_F",5689,5018,4967,30,7,7,0,0
"121","e05663_D",6212,5433,8,5345,0,0,0,0
"122","e05663_E",7706,6758,26,6581,0,0,0,0
