"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e05623-D",4072,3592,3557,387,0,0
"e05623-E",5586,4920,4910,4803,0,0
"e05623-F",4852,4307,4244,4086,0,0
"e05624-D",4748,4163,9,10,9,9
"e05624-E",6284,5536,5491,3360,0,0
"e05624-F",5144,4489,2592,4328,0,0
"e05625-D",16886,14904,14728,11967,11862,11839
"e05625-E",5195,4434,4370,4149,0,0
"e05625-F",3701,3183,3141,4,0,0
"e05626-D",5920,5164,5138,5096,0,0
"e05626-E",7735,6846,12,11,11,11
"e05626-F",4679,4120,4116,4106,0,0
"e05627-D",3630,3157,9,2974,0,0
"e05627-E",5160,4468,4409,373,0,0
"e05627-F",4019,3504,449,3328,0,0
"e05628-D",5401,4752,4705,4698,0,0
"e05628-E",7121,6235,6079,6120,0,0
"e05628-F",4653,4096,4000,3827,0,0
"e05629-D",5450,4781,4693,48,47,47
"e05629-E",6572,5839,5806,5789,0,0
"e05629-F",4329,3803,3757,3710,0,0
"e05630-D",5006,4428,9,11,8,8
"e05630-E",6203,5457,5314,10,10,10
"e05630-F",4829,4259,9,9,8,8
"e05631-D",5274,4633,6,4577,0,0
"e05631-E",6369,5590,5541,15,0,0
"e05631-F",4863,4250,22,4150,0,0
"e05632-D",5268,4613,1,4470,0,0
"e05632-E",6796,5967,10,7,0,0
"e05632-F",4520,3917,51,33,23,23
"e05633-D",6881,5975,12,23,9,9
"e05633-E",7825,6800,6644,41,30,30
"e05633-F",37371,33233,32803,32958,32501,32364
"e05634-D",5284,4626,8,10,7,7
"e05634-E",6988,6094,31,28,27,27
"e05634-F",4559,3987,14,16,14,14
"e05635-D",4719,4068,9,4,4,4
"e05635-E",5560,4796,4731,4474,0,0
"e05635-F",4192,3565,49,11,11,11
"e05636-D",6118,5289,21,4926,0,0
"e05636-E",7722,6653,15,23,8,8
"e05636-F",23258,20602,17784,17651,17593,17564
"e05637-D",46992,41904,41554,41716,41302,41064
"e05637-E",39949,35646,33811,33937,33624,33476
"e05637-F",36875,32975,32742,32781,32521,32339
"e05638-D",3104,2769,18,22,0,0
"e05638-E",21264,19286,19228,19194,19136,19018
"e05638-F",22122,20074,19994,19979,19900,19900
"e05639-D",46695,41795,40817,40904,40334,39293
"e05639-E",45421,40617,40042,40081,39401,35791
"e05639-F",49065,43792,43485,43447,43111,42476
"e05640-D",37208,33119,32847,32762,32518,32362
"e05640-E",42578,37788,37381,37482,37022,36873
"e05640-F",39777,35326,35192,34974,34810,34433
"e05641-D",7790,6822,16,56,13,13
"e05641-E",7715,6730,17,18,10,10
"e05641-F",43608,38980,38642,38803,38456,38317
"e05642-D",4280,3741,24,22,20,20
"e05642-E",33294,29657,29444,29154,28970,28889
"e05642-F",3981,3442,9,2,0,0
"e05643-D",5885,5104,9,4970,0,0
"e05643-E",6846,5973,5953,5481,0,0
"e05643-F",4806,4201,10,3858,0,0
"e05644-D",32321,28856,28690,28594,28442,28364
"e05644-E",34995,31256,30969,31117,30831,30722
"e05644-F",3948,3386,87,88,78,78
"e05645-D",8351,7250,18,19,12,12
"e05645-E",8878,7717,7569,32,15,15
"e05645-F",46132,41045,40752,40658,40362,40204
"e05646-D",6486,5693,15,14,14,14
"e05646-E",7651,6722,22,21,21,21
"e05646-F",5412,4721,4669,2124,0,0
"e05647-D",7997,6898,6638,5,4,4
"e05647-E",8558,7406,131,147,121,121
"e05647-F",6320,5451,132,148,122,122
"e05648-D",7874,6901,6875,4217,0,0
"e05648-E",9789,8531,12,21,5,5
"e05648-F",6303,5470,5455,12,0,0
"e05649-D",10734,9440,9393,9381,0,0
"e05649-E",9806,8680,21,19,9,9
"e05649-F",7465,6501,30,6272,0,0
"e05650-D",7219,6394,6366,6313,0,0
"e05650-E",7608,6735,6711,6645,0,0
"e05650-F",5515,4837,4795,4781,0,0
"e05651-D",9406,8207,8,7889,0,0
"e05651-E",9242,8049,14,13,13,13
"e05651-F",7288,6303,34,5851,0,0
"e05652-D",10354,9022,41,52,33,33
"e05652-E",59801,53442,53130,53259,52882,52213
"e05652-F",51240,45989,45750,45774,45498,44924
"e05653-D",10982,9665,17,19,12,12
"e05653-E",59621,53265,52890,52745,51939,48515
"e05653-F",7188,6341,54,44,36,36
"e05654-D",35403,31416,31166,31111,30843,30313
"e05654-E",41259,36681,36108,36180,35646,35270
"e05654-F",34589,30748,30387,30310,29975,29703
"e05655-D",7430,6419,13,13,10,10
"e05655-E",7673,6678,7,1001,0,0
"e05655-F",6749,5822,9,5686,0,0
"e05656-D",8521,7539,16,32,11,11
"e05656-E",9229,8177,9,11,9,9
"e05656-F",7176,6281,33,28,27,27
"e05657-D",9839,8555,25,29,23,23
"e05657-E",9516,8338,8295,8073,0,0
"e05657-F",7074,6168,6130,6026,0,0
"e05658-D",7911,6971,6906,6876,0,0
"e05658-E",7697,6741,6594,6608,0,0
"e05658-F",6179,5391,11,12,10,10
"e05659-D",10373,9078,10,33,8,8
"e05659-E",10040,8726,8675,8554,0,0
"e05659-F",7875,6818,33,31,27,27
"e05660-D",12467,10874,16,11,10,10
"e05660-E",12198,10659,10609,92,0,0
"e05660-F",8917,7789,7583,39,35,35
"e05661-D",10787,9445,9391,9379,0,0
"e05661-E",10472,9248,9044,54,52,52
"e05661-F",7373,6438,8,8,8,8
"e05662-D",6394,5619,13,5555,9,9
"e05662-E",8191,7193,7112,6555,0,0
"e05662-F",5689,5018,4967,30,7,7
"e05663-D",6212,5433,8,5345,0,0
"e05663-E",7706,6758,26,6581,0,0
"e05663-F",6371,5592,12,14,9,9
"e05664-D",10886,9647,9608,9596,0,0
"e05664-E",8252,7275,1245,1238,1235,1235
"e05664-F",7529,6625,6574,6567,0,0
"e05665-D",67754,60336,59930,59178,58722,58441
"e05665-E",11577,10126,9875,34,23,23
"e05665-F",9308,8174,7990,33,21,21
"e05666-D",55947,49604,49415,49412,49182,48914
"e05666-E",9783,8619,1697,1698,1693,1693
"e05666-F",8261,7259,19,18,7,7
"e05667-D",2441,2124,2107,2038,0,0
"e05667-E",2657,2285,6,2223,0,0
"e05667-F",3224,2806,2780,2680,0,0
"e05668-D",11114,9744,9695,4903,0,0
"e05668-E",10434,9087,9025,8946,0,0
"e05668-F",8335,7273,7176,6802,0,0
"e05669-D",6724,5920,5218,5877,0,0
"e05669-E",7717,6812,53,6708,44,44
"e05669-F",5700,5014,4975,4953,0,0
"e05670-D",6063,5375,5358,5320,0,0
"e05670-E",7480,6638,11,17,11,11
"e05670-F",5187,4564,20,21,17,17
"e05671-D",6367,5540,5346,29,4,4
"e05671-E",7680,6754,6555,3,0,0
"e05671-F",5801,5111,19,4994,0,0
"e05672-D",9796,8580,8360,14,9,9
"e05672-E",54523,48511,48295,48296,48030,47517
"e05672-F",7721,6707,11,9,8,8
"e05673-D",11706,10283,3,122,0,0
"e05673-E",10299,9046,55,16,7,7
"e05673-F",8267,7146,6862,6883,50,50
"e05674-D",9210,8046,9,47,0,0
"e05674-E",9731,8462,8376,2,0,0
"e05674-F",7744,6685,75,44,0,0
"e05675-D",52818,47157,47024,46936,46749,46071
"e05675-E",9593,8453,8184,36,9,9
"e05675-F",59922,53544,53163,53424,53004,52065
"e05676-D",9989,8719,8626,8526,0,0
"e05676-E",9371,8267,7,28,4,4
"e05676-F",7014,6057,5750,97,10,10
"e05677-D",46491,41548,41174,41293,40875,38552
"e05677-E",53740,47841,47680,47621,47409,47112
"e05677-F",50474,45001,44666,44677,44341,43480
"e05678-D",6035,5341,17,5230,15,15
"e05678-E",46839,41753,41298,41437,40972,40711
"e05678-F",44449,39526,39106,39396,39000,38757
"e05679-D",8597,7514,14,32,14,14
"e05679-E",39991,35594,33885,33923,33506,31101
"e05679-F",33873,30228,30067,29999,29635,25965
"e05680-D",35310,31467,31312,31101,30926,29243
"e05680-E",36513,32452,32277,32071,31644,29014
"e05680-F",33659,29888,29626,29687,29405,29262
"e05681-D",24291,21787,21777,21672,21355,19240
"e05681-E",9344,8267,3409,3467,3385,3385
"e05681-F",4976,4389,1282,1275,1273,1273
"e05682-D",34035,30187,29997,29717,29179,26309
"e05682-E",47890,42425,42052,42254,41878,41694
"e05682-F",7030,6096,31,34,28,28
"e05683-D",9744,8496,14,12,0,0
"e05683-E",10943,9504,9444,9332,0,0
"e05683-F",7628,6604,25,33,25,25
