EventID,Locality,Station,StartLatitude,StartLongitude,EndLatitude,EndLongitude,MinimumDepthInMeters,MaximumDepthInMeters,Temperature,Salinity,Oxygen,ObservationDate,ObservationTime,SampleID,ImageFilePath,ScientificName,AphiaID,IndividualCount,Density,Size,Condition,WeightInKg,AssociatedTaxa,Habitat,Substrate
D20220615-T135742,E Central Gulf of Alaska,,58.91588,-149.39664,58.91397,-149.38947,230.93,234.23,NA,,,6/14/2018,4:57:48,,,Virgulariidae,128488,34,0.08177064452,,Live,,Microstomus pacificus; Sebastolobus; Pleuronectidae,,Mud-mud
D20220615-T150604,E Central Gulf of Alaska,,58.90311,-149.31212,58.90088,-149.30624,226.84,229.66,NA,,,6/14/2018,6:07:22,,,Virgulariidae,128488,36,0.08749452964,,Live,,Pleuronectidae; Sebastes; Sebastolobus,,Mud-mud
D20220615-T163119,E Central Gulf of Alaska,,58.86342,-149.22983,58.86099,-149.22592,201.21,207.24,NA,,,6/15/2018,7:43:37,,,Balticina,146534,1,0.002151971848,,Live,,Teleostei; Sebastolobus; Anoplopoma fimbria,,Mud-mixed coarse
D20220615-T163119,E Central Gulf of Alaska,,58.86342,-149.22983,58.86099,-149.22592,201.21,207.24,NA,,,6/15/2018,7:43:37,,,Demospongiae,164811,5,0.01075985924,,Live,,Teleostei; Sebastolobus; Anoplopoma fimbria,,Mud-mixed coarse
D20220615-T163119,E Central Gulf of Alaska,,58.86342,-149.22983,58.86099,-149.22592,201.21,207.24,NA,,,6/15/2018,7:43:37,,,Hexactinellida,22612,5,0.01075985924,,Live,,Teleostei; Sebastolobus; Anoplopoma fimbria,,Mud-mixed coarse
D20220615-T163119,E Central Gulf of Alaska,,58.86342,-149.22983,58.86099,-149.22592,201.21,207.24,NA,,,6/15/2018,7:43:37,,,Pennatulacea,1367,4,0.008607887393,,Live,,Teleostei; Sebastolobus; Anoplopoma fimbria,,Mud-mixed coarse
D20220615-T184927,E Central Gulf of Alaska,,59.01065,-148.83046,59.01072,-148.838,216.76,226.46,NA,,,6/15/2018,9:49:34,,,Balticina,146534,4,0.006016110853,,Live,,Sebastolobus; Pleuronectidae; Lycodes,,Mud-mud
D20220615-T184927,E Central Gulf of Alaska,,59.01065,-148.83046,59.01072,-148.838,216.76,226.46,NA,,,6/15/2018,9:49:34,,,Balticina willemoesi,1393616,1,0.001504027713,,Live,,Sebastolobus; Pleuronectidae; Lycodes,,Mud-mud
D20220615-T184927,E Central Gulf of Alaska,,59.01065,-148.83046,59.01072,-148.838,216.76,226.46,NA,,,6/15/2018,9:49:34,,,Virgulariidae,128488,1,0.001504027713,,Live,,Sebastolobus; Pleuronectidae; Lycodes,,Mud-mud
D20220615-T203559,E Central Gulf of Alaska,,58.91078,-148.60057,58.91111,-148.60974,250.64,254.96,NA,,,6/15/2018,11:48:21,,,Balticina,146534,27,0.0336809062,,Live,,Pleuronectidae; Sebastolobus; Cottoidei; Lycodes,,Mud-mud
