fastq_ID,sample_ID,extraction_ID,replicate,protocol,primer,year,month,day,station
e00712_A,e05623_A,e05623,A,new,MiFish,2022,6,15,244
e00713_A,e05624_A,e05624,A,new,MiFish,2022,6,15,244
e00714_A,e05625_A,e05625,A,new,MiFish,2022,6,15,242
e00715_A,e05626_A,e05626,A,new,MiFish,2022,6,15,242
e00716_A,e05627_A,e05627,A,new,MiFish,2022,6,15,243
e00717_A,e05628_A,e05628,A,new,MiFish,2022,6,15,243
e00718_A,e05629_A,e05629,A,new,MiFish,2022,6,15,236
e00719_A,e05630_A,e05630,A,new,MiFish,2022,6,15,236
e00833_A,e05631_A,e05631,A,new,MiFish,2022,6,22,37
e00834_A,e05632_A,e05632,A,new,MiFish,2022,6,22,37
e00835_A,e05633_A,e05633,A,new,MiFish,2022,6,22,43
e00836_A,e05634_A,e05634,A,new,MiFish,2022,6,22,43
e00837_A,e05635_A,e05635,A,new,MiFish,2022,6,22,42
e00838_A,e05636_A,e05636,A,new,MiFish,2022,6,22,42
e00839_A,e05637_A,e05637,A,new,MiFish,2022,6,22,3
e00840_A,e05638_A,e05638,A,new,MiFish,2022,6,22,3
e00904_A,e05639_A,e05639,A,new,MiFish,2022,6,25,71
e00905_A,e05640_A,e05640,A,new,MiFish,2022,6,25,71
e00906_A,e05641_A,e05641,A,new,MiFish,2022,6,25,132
e00907_A,e05642_A,e05642,A,new,MiFish,2022,6,25,132
e00908_A,e05643_A,e05643,A,new,MiFish,2022,6,25,137
e00909_A,e05644_A,e05644,A,new,MiFish,2022,6,25,137
e00910_A,e05645_A,e05645,A,new,MiFish,2022,6,25,123
e00911_A,e05646_A,e05646,A,new,MiFish,2022,6,25,123
e01008_A,e05647_A,e05647,A,new,MiFish,2022,7,3,568
e01009_A,e05648_A,e05648,A,new,MiFish,2022,7,3,568
e01010_A,e05649_A,e05649,A,new,MiFish,2022,7,3,119
e01011_A,e05650_A,e05650,A,new,MiFish,2022,7,3,119
e01012_A,e05651_A,e05651,A,new,MiFish,2022,7,3,120
e01013_A,e05652_A,e05652,A,new,MiFish,2022,7,3,120
