"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"1","e00712_A",4439,4415,4288,4292,3458,3458,3458,3260,3260
"2","e00712_B",2598,2582,2442,2491,1434,1434,1434,1430,1430
"3","e00712_C",3258,3234,3044,3098,1859,1859,1859,1251,1251
"4","e00712_D",16909,16819,16709,16681,16378,16378,16374,15514,15514
"5","e00712_E",584,576,564,568,127,31,31,0,0
"6","e00712_F",15047,15005,14935,14893,14797,14797,14797,13684,13684
"7","e00713_A",1322,1302,1263,1268,0,0,0,0,0
"8","e00713_B",3337,3321,3219,3247,2174,2169,2169,2145,2145
"9","e00713_C",9434,9378,9241,9237,9011,9011,9009,6684,6684
"10","e00713_D",17593,17499,17407,17317,17077,17077,16860,16803,16803
"11","e00713_E",261,260,246,254,245,245,245,0,0
"12","e00713_F",13164,13118,13095,13064,13053,13053,13053,12860,12860
"13","e00714_A",1085,1073,1039,933,9,9,9,9,0
"14","e00714_B",16084,16059,15949,15859,15195,15195,15164,15119,15119
"15","e00714_C",325,320,297,294,219,219,219,0,0
"16","e00714_D",6467,6415,6336,6334,5782,5782,5782,5473,5473
"17","e00714_E",4955,4934,4892,4656,4633,4633,4633,4471,4471
"18","e00714_F",21269,21220,21135,21021,20897,20892,20848,19878,19878
"19","e00715_A",1630,1616,1594,1510,110,110,110,104,0
"20","e00715_B",26309,26265,26160,26024,25472,25472,25305,25305,25305
"21","e00715_C",347,345,332,339,251,251,251,251,0
"22","e00715_D",21859,21731,21630,21538,21133,21049,20813,20801,20801
"23","e00715_E",9893,9862,9840,9827,9812,9812,9780,9710,9710
"24","e00715_F",23684,23612,23536,23430,23210,23210,23078,22977,22977
"25","e00716_A",2577,2553,2272,2304,2164,341,341,341,0
"26","e00716_B",178,176,165,143,140,140,140,109,0
"27","e00716_C",2220,2201,2038,2047,1009,1009,1009,0,0
"28","e00716_D",236,229,221,2,0,0,0,0,0
"29","e00716_E",2916,2907,2851,2850,2555,2555,2555,2476,2476
"30","e00716_F",430,430,420,409,403,403,403,356,0
"31","e00717_A",2102,2088,2047,2050,144,144,144,100,0
"32","e00717_B",23655,23620,23450,23356,23140,23140,23134,23017,23017
"33","e00717_C",14378,14299,14193,14176,13975,13975,13966,12170,12170
"34","e00717_D",10325,10252,10017,10056,8987,8987,8986,6197,6197
"35","e00717_E",2558,2549,2488,2451,2124,2124,2124,1869,1869
"36","e00717_F",10013,9978,9875,9891,9821,9753,9753,7945,7945
"37","e00718_A",2785,2771,2593,2644,2526,1298,1298,1292,1292
"38","e00718_B",10563,10535,10418,10429,9462,9462,9458,9433,9433
"39","e00718_C",4142,4108,3918,3981,2582,2582,2582,1861,1861
"40","e00718_D",3354,3327,3192,3244,2181,2028,2028,1992,1992
"41","e00718_E",15248,15214,15159,15061,14951,14951,14940,14703,14703
"42","e00718_F",17074,17033,16573,16884,16271,16271,16150,6493,6493
"43","e00719_A",1535,1511,1472,1480,0,0,0,0,0
"44","e00719_B",2556,2541,2365,2461,1056,1056,1056,1056,1056
"45","e00719_C",4246,4216,4080,4134,3348,3348,3348,2969,2969
"46","e00719_D",8894,8832,8612,8677,8446,7694,7686,5900,5900
"47","e00719_E",110,108,94,98,45,45,45,0,0
"48","e00719_F",7024,7000,6943,6934,6580,6580,6580,6544,6544
"49","e00833_A",16872,16821,16753,16643,16479,16449,16412,16389,16389
"50","e00833_B",10729,10699,10580,10549,10125,10091,10086,9795,9795
"51","e00833_C",11836,11717,11443,11512,10594,10594,10583,9565,9565
"52","e00833_D",16420,16269,16144,16034,15530,15514,15420,15358,15358
"53","e00833_E",14624,14562,14376,14342,14176,14176,14176,14176,14176
"54","e00833_F",13221,13162,13007,12968,12797,12763,12734,12420,12420
"55","e00834_A",16647,16563,16454,16277,16105,16105,16105,15859,15859
"56","e00834_B",4904,4873,4709,4748,3738,3738,3738,3580,3580
"57","e00834_C",17833,17708,17391,17402,16762,16762,16668,16215,16215
"58","e00834_D",19407,19226,19077,18906,18452,18397,18082,18021,18021
"59","e00834_E",15603,15527,15363,15309,15158,15158,15134,14595,14595
"60","e00834_F",11473,11424,11252,11200,10951,10864,10845,10544,10544
"61","e00835_A",12263,12242,12149,12079,12006,12006,12006,12006,12006
"62","e00835_B",20579,20538,20247,20254,19776,19776,19748,16269,16269
"63","e00835_C",14532,14453,14174,14087,13591,13591,13575,13575,13575
"64","e00835_D",13043,12939,12608,12696,10691,10691,10663,10658,10658
"65","e00835_E",13073,13041,12966,12933,12827,12827,12827,12808,12808
