"","total","spread","parent_id","curated","rank"
"ASV19",38552,175,"ASV19","parent",19
"ASV1",955795,132,"ASV1","parent",1
"ASV2",277285,72,"ASV2","parent",2
"ASV3",175875,47,"ASV3","parent",3
"ASV8",75356,47,"ASV8","parent",8
"ASV11",60515,45,"ASV11","parent",11
"ASV6",83455,37,"ASV6","parent",6
"ASV4",117140,30,"ASV4","parent",4
"ASV7",80029,29,"ASV7","parent",7
"ASV9",72777,28,"ASV9","parent",9
"ASV5",114311,24,"ASV5","parent",5
"ASV20",37064,23,"ASV20","parent",20
"ASV12",56599,18,"ASV12","parent",12
"ASV17",39411,18,"ASV17","parent",17
"ASV121",745,17,"ASV121","parent",121
"ASV13",45729,15,"ASV13","parent",13
"ASV16",40485,12,"ASV16","parent",16
"ASV29",11712,12,"ASV29","parent",29
"ASV15",41072,11,"ASV15","parent",15
"ASV21",32244,11,"ASV21","parent",21
"ASV18",39320,10,"ASV18","parent",18
"ASV23",18370,9,"ASV23","parent",23
"ASV91",1472,9,"ASV91","parent",91
"ASV14",45261,8,"ASV14","parent",14
"ASV30",11222,7,"ASV30","parent",30
"ASV27",14893,6,"ASV27","parent",27
"ASV32",9700,6,"ASV32","parent",32
"ASV22",31153,5,"ASV22","parent",22
"ASV24",17236,5,"ASV24","parent",24
"ASV25",15676,5,"ASV25","parent",25
"ASV44",6140,5,"ASV5","merged",44
"ASV46",5587,5,"ASV46","parent",46
"ASV51",4290,5,"ASV51","parent",51
"ASV57",3917,5,"ASV57","parent",57
"ASV60",3578,5,"ASV60","parent",60
"ASV10",61189,4,"ASV10","parent",10
"ASV28",13480,4,"ASV28","parent",28
"ASV52",4244,4,"ASV52","parent",52
"ASV56",3999,4,"ASV56","parent",56
"ASV61",3539,4,"ASV61","parent",61
"ASV90",1479,4,"ASV1","merged",90
"ASV183",279,4,"ASV183","parent",183
"ASV276",81,4,"ASV276","parent",276
"ASV26",15582,3,"ASV26","parent",26
"ASV31",10126,3,"ASV31","parent",31
"ASV33",8840,3,"ASV33","parent",33
"ASV35",8130,3,"ASV35","parent",35
"ASV36",7779,3,"ASV36","parent",36
"ASV39",6762,3,"ASV39","parent",39
"ASV40",6719,3,"ASV40","parent",40
"ASV50",4418,3,"ASV50","parent",50
"ASV65",3282,3,"ASV65","parent",65
"ASV66",3262,3,"ASV1","merged",66
"ASV117",771,3,"ASV10","merged",117
"ASV198",204,3,"ASV198","parent",198
"ASV199",201,3,"ASV199","parent",199
"ASV303",43,3,"ASV303","parent",303
