"","fastq_ID","input","filtered","denoisedF","denoisedR","merged","nonchim","tax_reads","decon_reads"
"1","e00712_G",2119,1860,12,272,0,0,0,0
"2","e00712_H",24190,23595,23561,23333,21673,21583,21583,21583
"3","e00712_I",1772,1538,1483,48,0,0,0,0
"4","e00712_J",35761,35448,35434,35443,35230,32778,32588,32588
"5","e00712_K",1311,1127,1082,32,0,0,0,0
"6","e00712_L",27419,26687,26680,26491,26479,25956,25638,25638
"7","e00713_G",17765,17364,17354,17328,17324,17324,17324,17324
"8","e00713_H",2845,2618,1067,1054,1048,1048,1043,1043
"9","e00713_I",2146,1879,16,32,0,0,0,0
"10","e00713_J",28456,28067,26630,26603,26027,24755,24755,24755
"11","e00713_K",1871,1583,11,27,10,10,0,0
"12","e00713_L",21477,20765,19468,19449,19127,15863,15863,15863
"13","e00714_G",2180,1749,1665,200,0,0,0,0
"14","e00714_H",3332,2896,79,70,60,60,60,0
"15","e00714_I",328,271,258,26,0,0,0,0
"16","e00714_J",48962,48540,48524,48523,48452,48072,46510,46510
"17","e00714_K",1348,1037,945,13,0,0,0,0
"18","e00714_L",30570,29604,28212,28209,26528,23749,23742,23742
"19","e00715_G",2833,2534,26,53,20,20,20,0
"20","e00715_H",32439,31670,31658,31611,31584,31309,30715,30715
"21","e00715_I",22193,21998,21993,21891,21890,21890,21890,21890
"22","e00715_J",61929,61401,61339,61357,61266,61122,58757,58757
"23","e00715_K",1937,1646,14,164,0,0,0,0
"24","e00715_L",20918,20220,18671,18674,17972,13196,13196,13196
"25","e00716_G",2403,2056,16,15,14,14,0,0
"26","e00716_H",721,608,1,446,0,0,0,0
"27","e00716_I",2477,2152,2099,1601,0,0,0,0
"28","e00716_J",593,483,453,2,0,0,0,0
"29","e00716_K",1540,1290,3,41,0,0,0,0
"30","e00716_L",690,562,108,155,0,0,0,0
"31","e00717_G",28558,27872,27865,27856,27852,27852,27852,27852
"32","e00717_H",54032,52740,52720,52727,52719,52635,52635,52635
"33","e00717_I",745,661,632,8,0,0,0,0
"34","e00717_J",33336,32888,32210,32217,32210,32208,32208,32208
"35","e00717_K",1690,1447,1385,1256,0,0,0,0
"36","e00717_L",2043,1629,36,39,31,31,31,0
"37","e00718_G",3008,2703,315,60,0,0,0,0
"38","e00718_H",2483,2253,15,13,8,8,8,0
"39","e00718_I",485,437,18,16,15,15,0,0
"40","e00718_J",2362,2142,10,390,0,0,0,0
"41","e00718_K",3243,3008,1301,1287,1275,1275,1250,1250
"42","e00718_L",38526,37535,37520,37499,35382,35367,35265,35265
"43","e00719_G",2709,2425,23,9,8,8,8,0
"44","e00719_H",2789,2521,2234,122,0,0,0,0
"45","e00719_I",2094,1879,29,25,24,24,24,0
"46","e00719_J",8565,8483,8399,8407,8236,8234,8234,8234
"47","e00719_K",1775,1539,25,287,0,0,0,0
"48","e00719_L",14208,13624,11752,11726,11724,1107,1107,1107
"49","e00833_G",2460,2146,11,15,11,11,11,0
"50","e00833_H",31031,30295,30291,30278,30086,30086,30086,30086
"51","e00833_I",2247,2033,10,397,0,0,0,0
"52","e00833_J",40522,40169,40062,40080,39974,39960,39960,39960
"53","e00833_K",1757,1508,27,39,0,0,0,0
"54","e00833_L",27986,27196,27157,27076,25044,25030,25030,25030
"55","e00834_G",2715,2360,1,3,0,0,0,0
"56","e00834_H",35974,35133,35125,34835,34424,34362,34362,34362
"57","e00834_I",2230,2005,14,24,0,0,0,0
"58","e00834_J",2825,2513,16,17,14,14,0,0
"59","e00834_K",1703,1419,777,21,0,0,0,0
"60","e00834_L",28050,27350,27085,27280,26411,23640,23640,23640
"61","e00835_G",3088,2672,2451,6,0,0,0,0
"62","e00835_H",31902,31091,31084,31069,31023,31023,31023,31023
"63","e00835_I",25591,25347,25343,25344,25340,25279,25279,25279
"64","e00835_J",40701,40295,40280,40284,40276,40254,40254,40254
"65","e00835_K",2213,1834,17,12,10,10,10,0
"66","e00835_L",1947,1728,51,49,44,44,44,0
"67","e00836_G",2545,2235,2,53,0,0,0,0
"68","e00836_H",2946,2595,72,63,46,46,34,0
"69","e00836_I",2208,1986,18,12,10,10,10,0
"70","e00836_J",2771,2495,17,17,17,17,2,0
"71","e00836_K",20599,20064,20052,20026,20006,19874,19561,19561
"72","e00836_L",1924,1684,12,7,7,7,7,0
"73","e00837_G",21355,20870,20829,20870,20674,20673,20673,20673
"74","e00837_H",23719,23163,22791,23094,22517,19786,19786,19786
"75","e00837_I",17412,17276,17241,17268,16993,16626,16626,16626
"76","e00837_J",41563,41189,41173,41180,41170,41170,41170,41170
"77","e00837_K",20431,19951,19826,19938,19640,19626,19626,19626
"78","e00837_L",24522,23900,23546,23849,23424,19950,19950,19950
"79","e00838_G",34485,33637,33630,33611,33307,33171,33171,33171
"80","e00838_H",54188,52887,52863,52812,49689,49659,49659,49659
