"","qseqid","taxon"
"1","ASV1","Sebastes alutus"
"2","ASV10","Sebastes melanostictus"
"3","ASV100","Sebastes melanostictus"
"4","ASV101","Sebastes brevispinis"
"5","ASV102","Sebastes melanostictus"
"6","ASV103","Sebastes pinniger"
"7","ASV104","Sebastolobus alascanus"
"8","ASV105","Sebastolobus alascanus"
"9","ASV106","Sebastes borealis"
"10","ASV107","Sebastes alutus"
"11","ASV108","Sebastes proriger"
"12","ASV11","Sebastes alutus"
"13","ASV110","Sebastolobus alascanus"
"14","ASV111","Sebastolobus alascanus"
"15","ASV112","Sebastes borealis"
"16","ASV113","Sebastes alutus"
"17","ASV114","Sebastes melanostictus"
"18","ASV115","Sebastes wilsoni"
"19","ASV117","Sebastolobus alascanus"
"20","ASV118","Sebastes alutus"
"21","ASV119","Sebastes proriger"
"22","ASV12","Sebastes borealis"
"23","ASV121","Sebastes zacentrus"
"24","ASV122","Sebastolobus alascanus"
"25","ASV123","Sebastes aleutianus"
"26","ASV125","Sebastes nigrocinctus"
"27","ASV126","Sebastes melanostictus"
"28","ASV127","Sebastes zacentrus"
"29","ASV128","Sebastes aleutianus"
"30","ASV129","Sebastolobus alascanus"
"31","ASV13","Sebastes helvomaculatus"
"32","ASV130","Sebastes polyspinis"
"33","ASV131","Sebastes wilsoni"
"34","ASV132","Sebastes carnatus"
"35","ASV134","Sebastes melanostictus"
"36","ASV135","Sebastes alutus"
"37","ASV136","Sebastes proriger"
"38","ASV137","Sebastes wilsoni"
"39","ASV139","Sebastolobus alascanus"
"40","ASV14","Sebastolobus alascanus"
"41","ASV140","Sebastolobus alascanus"
"42","ASV141","Sebastes alutus"
"43","ASV142","Sebastes ruberrimus"
"44","ASV143","Sebastes borealis"
"45","ASV144","Sebastes proriger"
"46","ASV145","Sebastes alutus"
"47","ASV146","Sebastes entomelas"
"48","ASV147","Sebastes helvomaculatus"
"49","ASV149","Sebastolobus alascanus"
"50","ASV15","Sebastes proriger"
"51","ASV150","Sebastolobus alascanus"
"52","ASV151","Sebastes borealis"
"53","ASV152","Sebastes zacentrus"
"54","ASV153","Sebastes alutus"
"55","ASV154","Sebastolobus alascanus"
"56","ASV155","Sebastes ruberrimus"
"57","ASV156","Sebastes brevispinis"
"58","ASV157","Sebastes entomelas"
"59","ASV158","Sebastes maliger"
"60","ASV159","Sebastes alutus"
"61","ASV16","Sebastes alutus"
"62","ASV160","Sebastes brevispinis"
"63","ASV161","Sebastes proriger"
"64","ASV162","Sebastes borealis"
"65","ASV163","Sebastes proriger"
"66","ASV164","Sebastes alutus"
"67","ASV165","Sebastes aleutianus"
"68","ASV166","Sebastolobus alascanus"
"69","ASV167","Sebastes melanostictus"
"70","ASV168","Sebastes alutus"
"71","ASV169","Sebastes helvomaculatus"
"72","ASV170","Sebastolobus alascanus"
"73","ASV171","Sebastes alutus"
"74","ASV172","Sebastes melanostictus"
"75","ASV173","Sebastes alutus"
"76","ASV174","Sebastes borealis"
"77","ASV175","Sebastes alutus"
"78","ASV176","Sebastolobus alascanus"
"79","ASV178","Sebastes melanostictus"
"80","ASV179","Sebastes alutus"
"81","ASV18","Sebastolobus alascanus"
"82","ASV180","Sebastes alutus"
"83","ASV181","Sebastolobus alascanus"
"84","ASV182","Sebastolobus alascanus"
"85","ASV183","Sebastolobus alascanus"
"86","ASV184","Sebastolobus alascanus"
"87","ASV185","Sebastes alutus"
"88","ASV186","Sebastolobus alascanus"
"89","ASV187","Sebastes zacentrus"
"90","ASV188","Sebastolobus alascanus"
"91","ASV189","Sebastes alutus"
"92","ASV190","Sebastes melanostictus"
"93","ASV191","Sebastes borealis"
"94","ASV192","Sebastes alutus"
"95","ASV193","Sebastolobus alascanus"
"96","ASV194","Sebastes melanostictus"
"97","ASV195","Sebastes proriger"
"98","ASV196","Sebastes alutus"
"99","ASV198","Sebastes melanostictus"
"100","ASV199","Sebastes zacentrus"
"101","ASV2","Sebastes proriger"
"102","ASV20","Sebastes brevispinis"
"103","ASV200","Sebastes proriger"
"104","ASV201","Sebastes borealis"
"105","ASV202","Sebastes proriger"
"106","ASV203","Sebastes melanostictus"
"107","ASV204","Sebastes carnatus"
"108","ASV205","Sebastes melanostictus"
"109","ASV206","Sebastes carnatus"
"110","ASV207","Sebastes zacentrus"
"111","ASV208","Sebastes alutus"
"112","ASV209","Sebastes alutus"
"113","ASV21","Sebastes alutus"
"114","ASV210","Sebastolobus alascanus"
"115","ASV211","Sebastes alutus"
"116","ASV212","Sebastes ruberrimus"
"117","ASV213","Sebastes alutus"
"118","ASV214","Sebastes ruberrimus"
"119","ASV215","Sebastes alutus"
"120","ASV216","Sebastes ruberrimus"
"121","ASV217","Sebastolobus alascanus"
"122","ASV218","Sebastes wilsoni"
"123","ASV219","Sebastes alutus"
"124","ASV22","Sebastes alutus"
"125","ASV220","Sebastes borealis"
"126","ASV221","Sebastes alutus"
"127","ASV222","Sebastes alutus"
"128","ASV223","Sebastes aleutianus"
"129","ASV224","Sebastes alutus"
"130","ASV225","Sebastes aleutianus"
"131","ASV226","Sebastes carnatus"
"132","ASV227","Sebastes wilsoni"
"133","ASV228","Sebastes borealis"
"134","ASV229","Sebastolobus alascanus"
"135","ASV23","Sebastes zacentrus"
"136","ASV230","Sebastolobus alascanus"
"137","ASV231","Sebastolobus alascanus"
"138","ASV232","Sebastes alutus"
"139","ASV233","Sebastes flavidus"
"140","ASV234","Sebastolobus alascanus"
"141","ASV235","Sebastes zacentrus"
"142","ASV236","Sebastes melanostictus"
"143","ASV237","Sebastes melanostictus"
"144","ASV238","Sebastes proriger"
"145","ASV239","Sebastes alutus"
"146","ASV24","Sebastolobus alascanus"
"147","ASV240","Sebastes alutus"
"148","ASV241","Sebastes alutus"
"149","ASV243","Sebastes alutus"
"150","ASV245","Sebastes melanostictus"
